FIELD1,ds,yhat_lower,yhat_upper,yhat
43,1989-03-08,-3787.8237218609042,4742.706946108215,260.62867111284396
44,1989-03-09,-3842.127215057923,4442.646287751924,260.1097899422816
45,1989-03-10,-4167.032248042668,4710.075808071568,198.35451293781324
46,1989-03-13,-4208.877878552022,4342.517704002911,161.33145133468432
47,1989-03-14,-3895.1197857421835,4227.243719891207,152.59352731766904
48,1989-03-15,-3786.762949445706,4223.7913034797575,127.70577057179167
49,1989-03-16,-3969.2817775104036,4406.687447917878,139.9685801191846
50,1989-03-17,-4222.793756292834,4280.136730393051,92.4048651793351
51,1989-03-20,-4101.701499003553,4472.247159530176,104.23029282001806
52,1989-03-21,-4165.797921274829,3986.635039367413,113.05976311935058
53,1989-03-23,-4119.512201497613,4176.238156639461,135.95242063801345
54,1989-03-27,-3772.088685438236,4641.138827367939,165.63752842682072
55,1989-03-28,-4156.859218789085,4175.657843157418,188.28320787925583
56,1989-03-29,-4046.661879823769,4348.0752008498475,193.5751634856173
57,1989-03-30,-4051.18294122646,4290.198521802618,234.38990699441032
58,1989-03-31,-3695.893122939113,4178.6987332020635,213.35548895068698
59,1989-04-03,-3775.0250448652787,4416.878301774308,289.241153596034
60,1989-04-04,-3988.9081856815124,4534.288668616268,313.33672927943076
61,1989-04-05,-3767.032876495356,4164.870528506937,318.1205481277904
62,1989-04-07,-3839.515527856505,4465.487428740644,331.2041616349809
63,1989-04-10,-3689.091227289397,4552.088009044563,384.2774166941379
64,1989-04-11,-4003.0622696544237,4520.489699451164,397.9133372851325
65,1989-04-12,-3888.8788553901727,4544.0496924339395,391.09669512134496
66,1989-04-13,-3753.25039133161,4588.836622736656,416.9406997951558
67,1989-04-17,-3758.1959271325536,4312.75244193177,389.298463980605
68,1989-04-19,-3846.2118136322497,4522.675507462365,368.33130606405354
69,1989-04-20,-3620.486503379126,4634.365343309628,381.0076311227486
70,1989-04-21,-4138.983909161507,4396.1719304171675,329.99525861328414
71,1989-04-25,-3755.119213283531,4596.125870974239,301.6528218233615
72,1989-04-26,-3985.4222990603366,4208.979679378536,274.7846521902928
73,1989-04-27,-3795.362434838228,4334.99234080235,282.6788461574837
74,1989-04-28,-3902.8720520507486,4312.934683456427,228.49106691232964
75,1989-05-02,-3865.2112490025224,4599.677982193693,203.79157886157748
76,1989-05-03,-3989.4272551258264,4195.971704314783,181.7746068167396
77,1989-05-04,-3945.785567494751,4572.482013122522,195.95535750933567
78,1989-05-05,-3922.19180209743,4263.491849631448,149.3809399495397
79,1989-05-10,-3902.4548771727623,4281.642801160656,155.60666360244335
80,1989-05-11,-4271.153522521434,3941.194588903527,182.15887352978143
81,1989-05-12,-3491.0535760757016,4311.884944117446,148.11298585317013
82,1989-05-15,-4198.547614821847,4527.92033216041,194.35519738810746
83,1989-05-16,-3452.5169957538124,4408.216646990323,212.18574665309995
84,1989-05-17,-3889.40835027255,4129.947429765333,212.67802024181333
85,1989-05-18,-3855.6620422842007,4634.400333911517,248.80042251792113
86,1989-05-19,-4028.1281104291766,4666.405034611288,223.26830199709616
87,1989-05-22,-3818.539759707955,4441.406395651817,287.61126552270326
88,1989-05-23,-3910.1360928914432,4352.867210544841,308.734582210692
