ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1989-01-02,281.6183546373,-3277.513852168866,4745.68006262348,281.6183546373,281.6183546373,356.65270292648097,356.65270292648097,356.65270292648097,54.88796756605999,54.88796756605999,54.88796756605999,301.76473536042096,301.76473536042096,301.76473536042096,0.0,0.0,0.0,638.2710575637809
1989-01-04,284.6760198447023,-3331.938405729642,4859.95134297032,284.6760198447023,284.6760198447023,377.9575539067937,377.9575539067937,377.9575539067937,49.97022283141846,49.97022283141846,49.97022283141846,327.9873310753752,327.9873310753752,327.9873310753752,0.0,0.0,0.0,662.633573751496
1989-01-05,286.2048524484034,-3548.546191683584,5046.658904485533,286.2048524484034,286.2048524484034,412.2121550725037,412.2121550725037,412.2121550725037,73.04491321802881,73.04491321802881,73.04491321802881,339.1672418544749,339.1672418544749,339.1672418544749,0.0,0.0,0.0,698.4170075209072
1989-01-06,287.7336850521046,-3492.1677452360072,4861.293207170149,287.7336850521046,287.7336850521046,382.5984472352297,382.5984472352297,382.5984472352297,33.776805490553805,33.776805490553805,33.776805490553805,348.82164174467584,348.82164174467584,348.82164174467584,0.0,0.0,0.0,670.3321322873343
1989-01-09,292.320182863208,-3213.100709343281,4749.850133512982,292.320182863208,292.320182863208,422.1458600184154,422.1458600184154,422.1458600184154,54.88796756590109,54.88796756590109,54.88796756590109,367.25789245251434,367.25789245251434,367.25789245251434,0.0,0.0,0.0,714.4660428816235
1989-01-10,293.8490154669092,-3363.1699447450446,4754.557689577849,293.8490154669092,293.8490154669092,431.2165967710847,431.2165967710847,431.2165967710847,61.63698013291035,61.63698013291035,61.63698013291035,369.57961663817434,369.57961663817434,369.57961663817434,0.0,0.0,0.0,725.065612237994
1989-01-11,295.3778480706103,-3307.3770084244325,5001.875144707648,295.3778480706103,295.3778480706103,419.8823704368603,419.8823704368603,419.8823704368603,49.97022283117944,49.97022283117944,49.97022283117944,369.91214760568084,369.91214760568084,369.91214760568084,0.0,0.0,0.0,715.2602185074707
1989-01-12,296.9066806743115,-3224.9625466698653,4871.585589302351,296.9066806743115,296.9066806743115,441.3051719017137,441.3051719017137,441.3051719017137,73.04491321780813,73.04491321780813,73.04491321780813,368.2602586839056,368.2602586839056,368.2602586839056,0.0,0.0,0.0,738.2118525760252
1989-01-13,298.4355132780126,-3678.336383301564,5064.363826523829,298.4355132780126,298.4355132780126,398.44042115853387,398.44042115853387,398.44042115853387,33.77680549070992,33.77680549070992,33.77680549070992,364.663615667824,364.663615667824,364.663615667824,0.0,0.0,0.0,696.8759344365465
1989-01-16,303.02201108911606,-3481.5321344202744,5035.64782243606,303.02201108911606,303.02201108911606,397.99832121098717,397.99832121098717,397.99832121098717,54.88796756619204,54.88796756619204,54.88796756619204,343.1103536447951,343.1103536447951,343.1103536447951,0.0,0.0,0.0,701.0203323001033
